variable,question,file
BWBS14,"The experience of well-being and the good life necessarily involves…”


A lack of unpleasant experiences.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS15,"The experience of well-being and the good life necessarily involves…”


A high degree of self-knowledge.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS16,"The experience of well-being and the good life necessarily involves…”


A lack of painful experiences.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAPA1,I feel it is important to be able to find any information whenever I want online.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAPA2,I feel it is important to be able to access the Internet any time I want.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAPA3,I think it is important to keep up with the latest trends in technology.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAPA4,Technology will provide solutions to many of our problems.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAPA5,With technology anything is possible.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAPA6,"Please answer in terms of your agreement with each statement.



I feel that I get more accomplished because of technology.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAAD1,I get anxious when I don’t have my cell phone.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAAD2,I get anxious when I don’t have the Internet available to me.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
METAAD3,I am dependent on my technology.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
SC0,Score,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
StartDate,Start Date,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
EndDate,End Date,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
Status,Response Type,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
Progress,Progress,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
Duration..in.seconds.,Duration (in seconds),"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
Finished,Finished,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
RecordedDate,Recorded Date,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
ResponseId,Response ID,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
DistributionChannel,Distribution Channel,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
UserLanguage,User Language,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
Q_RecaptchaScore,Q_RecaptchaScore,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1SONA,"ID#



Before we move on ––

What's your participant ID# on SONA?

SONA Provides you with an ID# (e.g., 12345). Visit SONA here to find it: https://cornellpsych.sona-systems.com/



Note: If you don’t have a SONA ID#, please write your Cornell email address (e.g., jdf269@cornell.edu). Your data will remain confidential. I will ‘de-identify’ your information before sharing the study results with anyone.","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MNAM,"What’s a short name to describe yesterday MORNING's episode? (e.g., ‘walking to class’).","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MBEG_27,When did this episode BEGIN? Please try to remember the time as precisely as you can. - AM,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MBEG_4,When did this episode BEGIN? Please try to remember the time as precisely as you can. - PM,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MEND_27,When did this episode END? Please try to remember the time as precisely as you can. - AM,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MEND_4,When did this episode END? Please try to remember the time as precisely as you can. - PM,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MDC,What were you doing? (please check all that apply) - Selected Choice,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MDC_99_TEXT,What were you doing? (please check all that apply) - other (please specify) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MDO,"Please DESCRIBE the general EXPERIENCE in terms of the MAIN thing you were doing during the episode.



Example: I was playing a video game with friends using a headset so we could talk to each other","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MDM,"[optional] What OTHER THINGS were you doing or THINKING ABOUT?



Example: I was trying not to think about my upcoming exam.","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MTC,What technologies did you use? (please check all that apply) - Selected Choice,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MTC_99_TEXT,What technologies did you use? (please check all that apply) - other (please specify) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MCO,"[Optional] -- How did the COMBINATION of multiple TECHNOLOGIES / apps contribute towards IMPROVING your EMOTIONAL STATE?



Example: “Listening to white noise while scrolling on Instagram helped me to relax before bed. The lavender scent diffuser, along with a fan, also helped me to relax.”","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MATT,"On a scale of 1-7, please select the number ‘4’ below (to confirm your attention to this question).","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLE1,"To what degree did you approach this activity with the following intention, whether or not you actually achieved your aim?



Seeking to pursue excellence or a personal ideal?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLE2,Seeking to use the best in yourself?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLE3,"Seeking to develop a skill, learn, or gain insight into something?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLE4,Seeking to do what you believe in?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLH1,Seeking enjoyment?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLH2,Seeking pleasure?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLH3,Seeking fun?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLH4,Seeking relaxation?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MLH5,Seeking to take it easy?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER1,"1/25
 

Bettering yourself
Committing to meaningful challenges or passions that accord with your deeply-held values. Rather than indulging yourself constantly, or serving others’ needs only","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER2,"2/25
Indulging
Allowing yourself to enjoy what you desire to do. Rather than resisting the urge to do so","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER3,"3/25
Being considerate and helping others
Sharing your resources and attention for the benefit of another person or group’s needs or preferences. Rather than acting solely for personal gain","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER4,"4/25
Engaging in a collective
Joining in, or contributing to the shared concerns of a group. Rather than feeling apart from a sense of communal purpose","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER5,"5/25
Practicing spirituality and religion
Engaging in structured or ritualistic thoughts and behaviors that anchor your view of life within a larger cosmology. Rather than having no practiced tradition through which to process your experiences","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER6,"6/25
 

Please choose any number of the remaining 20 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)
 

Creating a savoring atmosphere
Creating or rearranging the environment to physically, psychologically, and socially support the intended positive experience. Rather than sticking to the status quo","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER7,"7/25
Capturing
Actively collecting physical or mental mementos (e.g., photos and souvenirs) that will later prompt vivid recall, thereby making the future experience more positive. Rather than experiencing the positive experience in only one temporal orientation","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER8,"8/25
Delaying positive experiences or splitting them into smaller units
Temporarily withdrawing from a positive experience, or subdividing a pleasant experience into smaller units to prolong anticipation and enjoyment. Rather than sacrificing prolonged pleasure for instant gratification","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER9,"9/25

 
Blocking negative thoughts



Preventing the retrieval of negative thoughts and memories that may hinder positive experiences, or reconfiguring them to create a more positive view. Rather than letting them lurk unaddressed around your daily life","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER10,"10/25

 
Habitualizing positive practices



Enhancing your life by practicing positive actions regularly as part of your lifestyle. Rather than occasionally performing them","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER11,"11/25

 
Please choose any number of the remaining 15 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)





Being immersed and absorbed

Becoming fully engaged in a positive experience or its aspects, existing only in the present. Rather than allowing other concerns to hinder your enjoyment","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER12,"12/25

 
Anticipating



Vividly anticipating likely positive experiences that will occur in the future. Rather than focusing only on the past or present","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER13,"13/25

 
Reminiscing



Recalling and reliving past positive experiences for emotional or sentimental reasons. Rather than focusing only on the present or future","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER14,"14/25

 
Moral elevating



Being moved by witnessing someone perform an act of virtue such as being brave, honest, kind, or perseverant; feeling inspired to act this way yourself. Rather than considering virtuous behaviors as mundane","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER15,"15/25

 
Fantasizing 
Imagining positive experiences of varying likelihood. Rather than restricting your imagination to likely possibilities","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER16,"16/25

 
Please choose any number of the remaining 10 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)





Being aware of temporal scarcity

Realizing that your current experience or resources will not last forever, and that you should enjoy them while they are available. Rather than rushing through them as though they were available anytime","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER17,"17/25

 
Infusing the ordinary with special meaning 
Enriching day-to-day experiences with language, thoughts, and actions that promote positive associations. Rather than seeing experiences only in a functional way","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER18,"18/25

 
Self-congratulating 
Giving yourself credit for the causes of positive experiences; seeing your experiences with a positive view of your strengths, achievements, and self-worth. Rather than overlooking opportunities to honor yourself","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER19,"19/25

 
Expressing or acknowledging gratitude 
Considering how others have benefited from your actions, or how you have benefited from others’ actions. Rather than letting contributions pass by without noticing their positive impact","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER20,"20/25

 
Relative comparing 
Embracing your own experiences in comparison with what others seem to be experiencing, or with what you imagined an event would be like. Rather than absorbing your joys and letdowns without a reference point","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER21,"21/25

 
Please choose any number of the remaining 5 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)





Sharing the positive experience with others

Creating a ripple effect between you and others in response to positive experiences; telling others how much you value the moment, or recounting stories about past joys, or good fortune. Rather than experiencing life’s joys in solitude","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER22,"22/25

 
Purposeful dampening

Intentionally down-regulating your positive emotions to help maintain perceived control. Rather than letting emotions arise regardless of the circumstance","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER23,"23/25

 
Enriching the sensory environment

Encountering or cultivating pleasant sensory stimulation. Rather than continually experiencing the same level of stimulation","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER24,"24/25

 
Altering bodily engagement

Reviving or relaxing your body with dynamic movement or rest. Rather than giving energy only to your thoughts","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPER25,"25/25

 
Neurochemically heightening emotions

Using food, drink, behaviors, or mind-altering substances to enhance your emotional state. Rather than relying solely on your intention to feel better","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS01,Enthusiastic,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS02,Interested,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS03,Determined,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS04,Excited,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS05,Inspired,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS06,Alert,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS07,Active,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS08,Strong,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS09,Proud,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MPAS10,Attentive,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MCSAT,"Overall, HOW SATISFIED were you with the technologies’ ability to SUPPORT YOUR HAPPINESS through this episode?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MSOC1,"Were you interacting with any human beings (i.e., in person, online) during this episode?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MSOC2,"Was the social interaction in real-time (e.g., video chat), or was it asynchronous (i.e., it took time to reply) (e.g., social media comments)?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MTENS.S1,"When I do this activity with these technologies, it makes me feel close to people who are important to me","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MTENS.S2,"When I do this activity with these technologies, it makes me feel connected to other people","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MTENS.S3,"When I do this activity with these technologies, it makes me feel that people care about me","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MTENS.F1,"When I do this activity with these technologies, it makes me feel excluded or isolated","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MTENS.F2,"When I do this activity with these technologies, it makes me feel lonely","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MTENS.F3,"When I do this activity with these technologies, it makes me feel like I don’t matter to other people","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ1,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Selected Choice,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ1_99_TEXT,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Other (please specify) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ2,"Ideally, HOW OFTEN would you LIKE TO ENGAGE in this ACTIVITY using these technologies? - Selected Choice","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ2_99_TEXT,"Ideally, HOW OFTEN would you LIKE TO ENGAGE in this ACTIVITY using these technologies? - Other (please specify) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ3,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Selected Choice,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ3_1_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Time it takes for the activity (please explain) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ3_2_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Energy it takes for the activity (please explain) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ3_3_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Money it takes for the activity (please explain) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ3_4_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Interest level I have in the activity (please explain) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ3_5_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Personal values I have towards the activity (please explain) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFREQ3_99_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Other (please explain) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MINDO,Were you indoors or outdoors during the activity?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MNEC,"HOW NECESSARY were the TECHNOLOGIES to engage in the main part THIS ACTIVITY (i.e., you would NOT have done the activity without them)?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MBODY,I MOVED MY BODY A LOT during this ACTIVITY.,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MCONV,"Overall, HOW CONVENIENT was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MEFF,"Overall, HOW EASY was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MFEEL,"[optional] In what ways did the technologies ENHANCE how you felt?



Example: “The music calmed me down”, or, “the video call felt almost like being in the same room”.","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1MELSE,[optional] Is there ANYTHING ELSE you want to say about your experience?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ANAM,"What’s a SHORT NAME to describe the AFTERNOON episode? (e.g., ‘watching TV’).","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AATT,"On a scale of 1-7, please select the number ‘3’ below (to confirm your attention to this question).","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ABEG_27,When did this episode BEGIN? Please try to remember the time as precisely as you can. - AM,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ABEG_4,When did this episode BEGIN? Please try to remember the time as precisely as you can. - PM,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AEND_27,When did this episode END? Please try to remember the time as precisely as you can. - AM,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AEND_4,When did this episode END? Please try to remember the time as precisely as you can. - PM,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ADC,What were you doing? (please check all that apply) - Selected Choice,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
